# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AKAP17A	ENSG00000197976	ENST00000313871	protein_coding	0	63	59	933	65	0	2	0	0	294	0	449	59	0	0	0	0	3	0	0	0	60	126
AKAP17A	ENSG00000197976	ENST00000381261	protein_coding	1	37	21	895	25	0	2	0	0	362	0	381	21	0	0	0	0	1	0	1	0	36	126
AKAP17A	ENSG00000197976	ENST00000474361	nonsense_mediated_decay	0	4	0	1194	142	0	2	0	0	294	0	449	0	185	0	0	0	4	0	0	0	0	126
AMD1P2	ENSG00000237801	ENST00000412936	processed_pseudogene	0	0	0	366	0	0	0	0	0	158	0	0	0	44	0	0	0	0	0	0	0	0	164
ASMT	ENSG00000196433	ENST00000381229	protein_coding	3	27	38	1471	0	0	0	0	0	214	0	967	38	0	0	0	1	5	0	2	0	23	295
ASMT	ENSG00000196433	ENST00000381233	protein_coding	3	25	33	1478	2	0	0	0	0	214	0	973	33	0	0	0	1	4	0	2	0	22	293
ASMT	ENSG00000196433	ENST00000381241	protein_coding	3	28	42	1476	2	0	5	0	0	214	0	962	42	0	0	0	1	5	0	2	0	24	298
ASMT	ENSG00000196433	ENST00000432523	protein_coding	2	6	10	512	2	0	0	0	0	214	0	59	10	0	0	0	0	2	0	2	0	5	238
ASMT	ENSG00000196433	ENST00000509780	processed_transcript	0	4	0	681	0	0	0	0	0	25	0	403	0	23	0	0	0	4	0	0	0	0	234
ASMTL	ENSG00000169093	ENST00000381317	protein_coding	5	68	63	2708	6	3	7	0	0	300	3	2207	63	0	0	1	0	15	0	1	1	56	198
ASMTL	ENSG00000169093	ENST00000381333	protein_coding	5	65	59	2717	6	4	9	0	0	300	3	2215	59	0	0	1	0	15	0	1	1	52	197
ASMTL	ENSG00000169093	ENST00000462195	processed_transcript	0	3	0	651	0	0	0	0	0	222	0	151	0	37	0	0	0	3	0	0	0	0	244
